"MovieID","MovieTitle","RecommendationID","RecommendationTitle"
1,"Toy Story (1995)",1211,"Matrix, The (1999)"
2,"Jumanji (1995)",1211,"Matrix, The (1999)"
3,"Grumpier Old Men (1995)",1960,"Lord of the Rings: The Two Towers, The (2002)"
4,"Waiting to Exhale (1995)",1754,"Shrek (2001)"
5,"Father of the Bride Part II (1995)",214,"Forrest Gump (1994)"
6,"Heat (1995)",1211,"Matrix, The (1999)"
7,"Sabrina (1995)",214,"Forrest Gump (1994)"
9,"Sudden Death (1995)",177,"Pulp Fiction (1994)"
9,"Sudden Death (1995)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
10,"GoldenEye (1995)",1211,"Matrix, The (1999)"
11,"American President, The (1995)",214,"Forrest Gump (1994)"
12,"Dracula: Dead and Loving It (1995)",1211,"Matrix, The (1999)"
13,"Balto (1995)",787,"Men in Black (a.k.a. MIB) (1997)"
13,"Balto (1995)",1754,"Shrek (2001)"
13,"Balto (1995)",1960,"Lord of the Rings: The Two Towers, The (2002)"
14,"Nixon (1995)",41,"Seven (a.k.a. Se7en) (1995)"
14,"Nixon (1995)",177,"Pulp Fiction (1994)"
15,"Cutthroat Island (1995)",214,"Forrest Gump (1994)"
15,"Cutthroat Island (1995)",587,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
16,"Casino (1995)",177,"Pulp Fiction (1994)"
17,"Sense and Sensibility (1995)",214,"Forrest Gump (1994)"
18,"Four Rooms (1995)",177,"Pulp Fiction (1994)"
18,"Four Rooms (1995)",1211,"Matrix, The (1999)"
19,"Ace Ventura: When Nature Calls (1995)",1211,"Matrix, The (1999)"
20,"Money Train (1995)",1211,"Matrix, The (1999)"
21,"Get Shorty (1995)",177,"Pulp Fiction (1994)"
22,"Copycat (1995)",787,"Men in Black (a.k.a. MIB) (1997)"
22,"Copycat (1995)",1211,"Matrix, The (1999)"
23,"Assassins (1995)",177,"Pulp Fiction (1994)"
23,"Assassins (1995)",1211,"Matrix, The (1999)"
23,"Assassins (1995)",1356,"Fight Club (1999)"
24,"Powder (1995)",277,"Jurassic Park (1993)"
25,"Leaving Las Vegas (1995)",177,"Pulp Fiction (1994)"
25,"Leaving Las Vegas (1995)",1211,"Matrix, The (1999)"
26,"Othello (1995)",585,"Star Wars: Episode V - The Empire Strikes Back (1980)"
26,"Othello (1995)",1211,"Matrix, The (1999)"
26,"Othello (1995)",1855,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
26,"Othello (1995)",2076,"Lord of the Rings: The Return of the King, The (2003)"
27,"Now and Then (1995)",214,"Forrest Gump (1994)"
28,"Persuasion (1995)",631,"Dead Poets Society (1989)"
28,"Persuasion (1995)",1211,"Matrix, The (1999)"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",177,"Pulp Fiction (1994)"
31,"Dangerous Minds (1995)",214,"Forrest Gump (1994)"
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",1211,"Matrix, The (1999)"
34,"Babe (1995)",1211,"Matrix, The (1999)"
35,"Carrington (1995)",31,"Babe (1995)"
35,"Carrington (1995)",177,"Pulp Fiction (1994)"
35,"Carrington (1995)",454,"2001: A Space Odyssey (1968)"
